"Year","Region Name","NMFS Name","Pounds","Dollars","Collection","Confidentiality","Source","Scientific Name","Tsn"
"2000","Gulf","TUNAS **","4,565","14,408","Commercial","Public","ACCSPHIST","THUNNUS","172418"
"2000","Gulf","SHARKS **","","682,274","Commercial","Public","ACCSPHIST","SQUALIFORMES","160602"
"2000","Gulf","SHARKS **","","335,388","Commercial","Public","GULFFINHIST","SQUALIFORMES","160602"
"2000","Gulf","TUNA, BIGEYE","5,133","8,497","Commercial","Public","ACCSPHIST","THUNNUS OBESUS","172428"
"2000","Gulf","TUNA, BIGEYE","45,384","169,997","Commercial","Public","GULFFINHIST","THUNNUS OBESUS","172428"
"2000","Gulf","TUNA, BLUEFIN","75,937","452,301","Commercial","Public","GULFFINHIST","THUNNUS THYNNUS","172421"
"2000","Gulf","TUNA, ALBACORE","7,739","8,697","Commercial","Public","GULFFINHIST","THUNNUS ALALUNGA","172419"
"2000","Gulf","TUNA, BLACKFIN","23,318","18,457","Commercial","Public","ACCSPHIST","THUNNUS ATLANTICUS","172427"
"2000","Gulf","TUNA, BLACKFIN","37,119","12,404","Commercial","Public","GULFFINHIST","THUNNUS ATLANTICUS","172427"
"2000","Gulf","TUNA, SKIPJACK","1,661","1,320","Commercial","Public","ACCSPHIST","KATSUWONUS PELAMIS","172401"
"2000","Gulf","TUNA, YELLOWFIN","180,839","574,440","Commercial","Public","ACCSPHIST","THUNNUS ALBACARES","172423"
"2000","Gulf","TUNA, YELLOWFIN","4,130,216","12,706,483","Commercial","Public","GULFFINHIST","THUNNUS ALBACARES","172423"
"2000","Gulf","TUNA, LITTLE TUNNY","98,011","41,215","Commercial","Public","ACCSPHIST","EUTHYNNUS ALLETTERATUS","172402"
"2000","Gulf","TUNA, LITTLE TUNNY","20,915","8,303","Commercial","Public","GULFFINHIST","EUTHYNNUS ALLETTERATUS","172402"
"2000","Gulf","SHARK, MAKO, SHORTFIN","14,480","14,709","Commercial","Public","ACCSPHIST","ISURUS OXYRINCHUS","159924"
"2000","Gulf","SHARK, MAKO, SHORTFIN","15,823","13,226","Commercial","Public","GULFFINHIST","ISURUS OXYRINCHUS","159924"
"2000","Gulf","SHARKS, CHONDRICHTHYES (CLASS) **","371,647","110,224","Commercial","Public","ACCSPHIST","CHONDRICHTHYES","159785"
"2000","Gulf","SHARKS, CHONDRICHTHYES (CLASS) **","81,751","39,507","Commercial","Public","GULFFINHIST","CHONDRICHTHYES","159785"
"2000","Gulf","SHARKS, CHONDRICHTHYES (CLASS) **","31,834","6,083","Commercial","Confidential","GULFFINHIST","CHONDRICHTHYES","159785"
"2000","New England","TUNAS **","162,552","401,866","Commercial","Public","ACCSPHIST","THUNNUS","172418"
"2000","New England","SHARKS **","462","10,922","Commercial","Public","ACCSPHIST","SQUALIFORMES","160602"
"2000","New England","TUNA, BIGEYE","122,331","402,347","Commercial","Public","ACCSPHIST","THUNNUS OBESUS","172428"
"2000","New England","TUNA, BLUEFIN","2,243,251","17,304,660","Commercial","Public","ACCSPHIST","THUNNUS THYNNUS","172421"
"2000","New England","TUNA, ALBACORE","12,256","8,089","Commercial","Public","ACCSPHIST","THUNNUS ALALUNGA","172419"
"2000","New England","TUNA, SKIPJACK","82","28","Commercial","Public","ACCSPHIST","KATSUWONUS PELAMIS","172401"
"2000","New England","SHARKS, MAKO **","6,049","6,757","Commercial","Public","ACCSPHIST","ISURUS","159923"
"2000","New England","TUNA, YELLOWFIN","36,237","98,927","Commercial","Public","ACCSPHIST","THUNNUS ALBACARES","172423"
"2000","New England","TUNA, LITTLE TUNNY","1,274","238","Commercial","Public","ACCSPHIST","EUTHYNNUS ALLETTERATUS","172402"
"2000","New England","SHARK, MAKO, SHORTFIN","22,675","23,399","Commercial","Public","ACCSPHIST","ISURUS OXYRINCHUS","159924"
"2000","New England","SHARKS, CHONDRICHTHYES (CLASS) **","36,867","27,267","Commercial","Public","ACCSPHIST","CHONDRICHTHYES","159785"
"2000","South Atlantic","TUNAS **","85,755","199,660","Commercial","Public","ACCSPHIST","THUNNUS","172418"
"2000","South Atlantic","SHARKS **","","980,149","Commercial","Public","ACCSPHIST","SQUALIFORMES","160602"
"2000","South Atlantic","TUNA, BIGEYE","250,557","442,943","Commercial","Public","ACCSPHIST","THUNNUS OBESUS","172428"
"2000","South Atlantic","TUNA, BLUEFIN","144,289","1,281,871","Commercial","Public","ACCSPHIST","THUNNUS THYNNUS","172421"
"2000","South Atlantic","TUNA, ALBACORE","16,071","18,128","Commercial","Public","ACCSPHIST","THUNNUS ALALUNGA","172419"
"2000","South Atlantic","TUNA, BLACKFIN","18,692","14,340","Commercial","Public","ACCSPHIST","THUNNUS ATLANTICUS","172427"
