SpeciesStock,Dataset,TimePeriod,FvFmsy,BvBmsy,Group
BFT.ATW,Ram,0,1.57,0.285,-1
SWO.ATN,Ram,0,1.27,0.746,-1
SWO.ATS,Ram,0,1.076,0.915,0
ALB.ATS,Ram,0,1.15,1.02,1
BFT.AE+M,Ram,0,3.26,0.692,-1
ALB.ATN,Ram,0,0.728,0.992,0.5
BET.A+M,Ram,0,1.18,0.864,1
SBF,Ram,0,1.63,0.304,-1
BFT.ATW,Ram,1,0.983,0.479,-1
SWO.ATN,Ram,1,0.887,1.14,-1
SWO.ATS,Ram,1,0.757,0.977,0
ALB.ATS,Ram,1,0.697,1.2,1
BFT.AE+M,Ram,1,0.376,1.73,-1
ALB.ATN,Ram,1,0.538,1.3,0.5
BET.A+M,Ram,1,1.58,0.765,1
SBF,Ram,1,0.81,0.29,-1
SWO.ATN,Scrs,0,1.34,0.58,-1
SWO.ATS,Scrs,0,1.24,0.99,0
ALB.ATS,Scrs,0,0.75,1.28,1
ALB.ATN,Scrs,0,1.1,0.68,0.5
BET.A+M,Scrs,0,0.87,0.96,1
