"RecID","SpeciesStock","Species","ScieName","SpeciesGrp","YearC","Decade","Lustrum","PartyStatus","PartyName","Flag","FleetGear","Fleet","Stock","SampAreaCode","Area","FishZoneCode","SpcGearGrp","GearGrp","GearCode","CatchTypeCode","QualInfoCode","CnvFactor","Qty_t","yearTACimp","scaled_tacr","tacr","tacever","tac_any","totalFleetCatch","propStock","diff","Qtydiff"
8,"BFT.ATW","BFT","Thunnus thynnus","1-Tuna (major sp.)",1950,1950,1950,"CP","CANADA","Canada","CAN.RR","CAN","ATW","BF51","NW","UNKN","Sport (HL+RR)","RR","RRFB","C","UNKN",1,75,1982,-32,0,1,0,75,1,NA,NA
19,"BFT.ATE","BFT","Thunnus thynnus","1-Tuna (major sp.)",1950,1950,1950,"CP","EUROPEAN UNION","EU.France","EU.FRA-FR.BB","EU.FRA-FR","ATE","BF54","NE","UNKN","Bait boat","BB","BB","C","UNKN",1,1869,1999,-49,0,1,0,1869,1,NA,NA
51,"SKJ.ATE","SKJ","Katsuwonus pelamis","1-Tuna (major sp.)",1950,1950,1950,"CP","EUROPEAN UNION","EU.Portugal","EU.PRT-PT-AZORES.BB","EU.PRT-PT-AZORES","ATE","SJ01","AZOR","UNKN","Bait boat","BB","BB","C","UNKN",1,593,Inf,NA,0,0,0,593,1,NA,NA
54,"SKJ.ATE","SKJ","Katsuwonus pelamis","1-Tuna (major sp.)",1950,1950,1950,"CP","EUROPEAN UNION","EU.Portugal","EU.PRT-PT-MADEIRA.BB","EU.PRT-PT-MADEIRA","ATE","SJ01","MDRA","UNKN","Bait boat","BB","BB","C","UNKN",1,111,Inf,NA,0,0,0,111,1,NA,NA
71,"LTA.ATL","LTA","Euthynnus alletteratus","2-Tuna (small)",1950,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP.TP","EU.ESP","ATL","BIL94B","NE","EEZ","All gears","TP","TRAP","C","UNKN",1,2,Inf,NA,0,0,0,7314.5,0.000273429489370429,NA,NA
73,"LTA.MED","LTA","Euthynnus alletteratus","2-Tuna (small)",1950,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.TP","EU.ESP-ES-MEDI","MED","BIL95","MEDI","EEZ","All gears","TP","TRAP","C","UNKN",1,138,Inf,NA,0,0,0,1264,0.109177215189873,NA,NA
75,"BON.ATL","BON","Sarda sarda","2-Tuna (small)",1950,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP.TP","EU.ESP","ATL","BIL94B","NE","EEZ","All gears","TP","TRAP","C","UNKN",1,3,Inf,NA,0,0,0,7314.5,0.000410144234055643,NA,NA
77,"BON.MED","BON","Sarda sarda","2-Tuna (small)",1950,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.TP","EU.ESP-ES-MEDI","MED","BIL95","MEDI","EEZ","All gears","TP","TRAP","C","UNKN",1,236,Inf,NA,0,0,0,1264,0.186708860759494,NA,NA
82,"SWO.ATN","SWO","Xiphias gladius","1-Tuna (major sp.)",1950,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-SWO.LL","EU.ESP-ES-SWO","ATN","BIL94B","NE","UNKN","Longline","LL","LLSWO","C","RPT1",1,1445,1997,-47,0,1,0,1555.12,0.929188744276969,NA,NA
85,"SWO.MED","SWO","Xiphias gladius","1-Tuna (major sp.)",1950,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.LL","EU.ESP-ES-MEDI","MED","BIL95","MEDI","UNKN","Longline","LL","LLSWO","C","UNKN",1,586,Inf,NA,0,0,0,586,1,NA,NA
169,"BFT.ATW","BFT","Thunnus thynnus","1-Tuna (major sp.)",1951,1950,1950,"CP","CANADA","Canada","CAN.RR","CAN","ATW","BF51","NW","UNKN","Sport (HL+RR)","RR","RRFB","C","UNKN",1,86,1982,-31,0,1,0,86,1,0,11
180,"BFT.ATE","BFT","Thunnus thynnus","1-Tuna (major sp.)",1951,1950,1950,"CP","EUROPEAN UNION","EU.France","EU.FRA-FR.BB","EU.FRA-FR","ATE","BF54","NE","UNKN","Bait boat","BB","BB","C","UNKN",1,2893,1999,-48,0,1,0,2893,1,0,1024
213,"SKJ.ATE","SKJ","Katsuwonus pelamis","1-Tuna (major sp.)",1951,1950,1950,"CP","EUROPEAN UNION","EU.Portugal","EU.PRT-PT-AZORES.BB","EU.PRT-PT-AZORES","ATE","SJ01","AZOR","UNKN","Bait boat","BB","BB","C","UNKN",1,358,Inf,NA,0,0,0,358,1,0,-235
215,"SKJ.ATE","SKJ","Katsuwonus pelamis","1-Tuna (major sp.)",1951,1950,1950,"CP","EUROPEAN UNION","EU.Portugal","EU.PRT-PT-MADEIRA.BB","EU.PRT-PT-MADEIRA","ATE","SJ01","MDRA","UNKN","Bait boat","BB","BB","C","UNKN",1,101,Inf,NA,0,0,0,101,1,0,-10
232,"LTA.MED","LTA","Euthynnus alletteratus","2-Tuna (small)",1951,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.TP","EU.ESP-ES-MEDI","MED","BIL95","MEDI","EEZ","All gears","TP","TRAP","C","UNKN",1,228,Inf,NA,0,0,0,1038,0.219653179190751,0.110475964000878,90
234,"BON.MED","BON","Sarda sarda","2-Tuna (small)",1951,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.TP","EU.ESP-ES-MEDI","MED","BIL95","MEDI","EEZ","All gears","TP","TRAP","C","UNKN",1,165,Inf,NA,0,0,0,1038,0.158959537572254,-0.0277493231872393,-71
239,"SWO.ATN","SWO","Xiphias gladius","1-Tuna (major sp.)",1951,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-SWO.LL","EU.ESP-ES-SWO","ATN","BIL94B","NE","UNKN","Longline","LL","LLSWO","C","RPT1",1,966,1997,-46,0,1,0,1039.615,0.929190132885732,1.38860876264246e-06,-479
242,"SWO.MED","SWO","Xiphias gladius","1-Tuna (major sp.)",1951,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.LL","EU.ESP-ES-MEDI","MED","BIL95","MEDI","UNKN","Longline","LL","LLSWO","C","UNKN",1,580,Inf,NA,0,0,0,580,1,0,-6
384,"BFT.ATW","BFT","Thunnus thynnus","1-Tuna (major sp.)",1952,1950,1950,"CP","CANADA","Canada","CAN.RR","CAN","ATW","BF51","NW","UNKN","Sport (HL+RR)","RR","RRFB","C","UNKN",1,69,1982,-30,0,1,0,69,1,0,-17
395,"BFT.ATE","BFT","Thunnus thynnus","1-Tuna (major sp.)",1952,1950,1950,"CP","EUROPEAN UNION","EU.France","EU.FRA-FR.BB","EU.FRA-FR","ATE","BF54","NE","UNKN","Bait boat","BB","BB","C","UNKN",1,2362,1999,-47,0,1,0,2362,1,0,-531
430,"SKJ.ATE","SKJ","Katsuwonus pelamis","1-Tuna (major sp.)",1952,1950,1950,"CP","EUROPEAN UNION","EU.Portugal","EU.PRT-PT-AZORES.BB","EU.PRT-PT-AZORES","ATE","SJ01","AZOR","UNKN","Bait boat","BB","BB","C","UNKN",1,484,Inf,NA,0,0,0,484,1,0,126
433,"SKJ.ATE","SKJ","Katsuwonus pelamis","1-Tuna (major sp.)",1952,1950,1950,"CP","EUROPEAN UNION","EU.Portugal","EU.PRT-PT-MADEIRA.BB","EU.PRT-PT-MADEIRA","ATE","SJ01","MDRA","UNKN","Bait boat","BB","BB","C","UNKN",1,97,Inf,NA,0,0,0,97,1,0,-4
451,"LTA.MED","LTA","Euthynnus alletteratus","2-Tuna (small)",1952,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.TP","EU.ESP-ES-MEDI","MED","BIL95","MEDI","EEZ","All gears","TP","TRAP","C","UNKN",1,3,Inf,NA,0,0,0,823,0.00364520048602673,-0.216007978704725,-225
453,"BON.MED","BON","Sarda sarda","2-Tuna (small)",1952,1950,1950,"CP","EUROPEAN UNION","EU.España","EU.ESP-ES-MEDI.TP","EU.ESP-ES-MEDI","MED","BIL95","MEDI","EEZ","All gears","TP","TRAP","C","UNKN",1,91,Inf,NA,0,0,0,823,0.110571081409478,-0.0483884561627768,-74
