"stockid","stocklong","year","TCbest","TBbest","BdivBmsypref","UdivUmsypref","tsn","scientificname","commonname","areaid","region","primary_country","primary_FAOarea","state","country","areatype","areacode","areaname","TBmsybest","TBmsy","MSY","MSYbest","billfish.tuna","region.atlantic","region.pacific","region.indian","region.med","tac_year","tac_ever","dev.year","rep.countries","gen.time","price.collette","price.upsides","price.pons"
"ALBAIO","Albacore tuna Indian Ocean",1950,8.15,2449652.74297521,4.88,0.000222," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1951,18.4,2449652.74297521,4.88,6e-04," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1952,80,2449652.74297521,4.88,0.0011," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1953,1110,2449652.74297521,4.87,0.0089," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1954,2850,2432874.29953018,4.84,0.0228," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1955,3360,2416095.85608514,4.81,0.0267," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1956,5630,2399317.41264011,4.76,0.0437," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1957,5340,2382538.96919507,4.72,0.042," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1958,7300,2365760.52575003,4.69,0.0643," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1959,11700,2315425.19541493,4.61,0.112," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1960,12100,2265089.86507982,4.5,0.128," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1961,16600,2231532.97818975,4.43,0.17," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1962,19000,2130862.31751953,4.24,0.229," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1963,14200,2097305.43062946,4.16,0.169," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1964,19400,2046970.10029436,4.07,0.24," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
"ALBAIO","Albacore tuna Indian Ocean",1965,13000,2013413.21340428,3.99,0.154," 172419","Thunnus alalunga","Albacore tuna","multinational-IOTC-IO","Indian Ocean","Taiwan","57","Current","multinational","IOTC","IO","Indian Ocean",503470.3079,NA,38800,38800,1,0,0,1,0,0,0,1959,30,6.7,3929,1452.157,2050.23751
