RepYear,stockID,scrs_value
1982,BFT.ATW,0
1984,BFT.ATW,NA
1985,BFT.ATW,2660
1986,BFT.ATW,2660
1987,BFT.ATW,2660
1988,BFT.ATW,2660
1989,BFT.ATW,2660
1990,BFT.ATW,2660
1991,BFT.ATW,2660
1992,BFT.ATW,1311
1992,BFT.ATW,2861
1993,BFT.ATW,NA
1994,BFT.ATW,1200
1995,BFT.ATW,1995
1995,BFT.ATW,2600
1996,BFT.ATW,1995
1997,BFT.ATW,2000
1997,BFT.ATW,2500
1998,BFT.ATW,2000
1998,BFT.ATW,2500
1999,BFT.ATW,1500
1999,BFT.ATW,2354
2000,BFT.ATW,1500
2000,BFT.ATW,2500
2001,BFT.ATW,2500
2002,BFT.ATW,2500
2003,BFT.ATW,2500
2004,BFT.ATW,2500
2005,BFT.ATW,2500
2006,BFT.ATW,NA
2007,BFT.ATW,2100
2007,BFT.ATW,2700
2008,BFT.ATW,2100
2009,BFT.ATW,1500
2009,BFT.ATW,2000
2010,BFT.ATW,1900
2011,BFT.ATW,1800
2012,BFT.ATW,1750
1998,SWO.ATN,10000
1998,SWO.ATN,12000
1999,SWO.ATN,10000
1999,SWO.ATN,12000
2000,SWO.ATN,10000
2000,SWO.ATN,10700
2001,SWO.ATN,10000
2001,SWO.ATN,10700
2002,SWO.ATN,10000
2002,SWO.ATN,10700
2003,SWO.ATN,14000
2004,SWO.ATN,14000
2005,SWO.ATN,14000
2006,SWO.ATN,14000
2007,SWO.ATN,14000
2008,SWO.ATN,14000
2009,SWO.ATN,14000
2010,SWO.ATN,13700
2011,SWO.ATN,13700
2012,SWO.ATN,NA
1999,SWO.ATS,14620
2000,SWO.ATS,14620
2001,SWO.ATS,13500
2002,SWO.ATS,13500
2003,SWO.ATS,14000
2003,SWO.ATS,15000
2004,SWO.ATS,14000
2004,SWO.ATS,15000
2005,SWO.ATS,14000
2005,SWO.ATS,15000
2006,SWO.ATS,NA
2007,SWO.ATS,17000
2008,SWO.ATS,17000
2009,SWO.ATS,17000
2010,SWO.ATS,15000
2011,SWO.ATS,15000
2012,SWO.ATS,NA
1998,ALB.ATS,27032
1999,ALB.ATS,27032
2000,ALB.ATS,28200
2001,ALB.ATS,29200
2002,ALB.ATS,29200
2003,ALB.ATS,29200
2004,ALB.ATS,29200
2005,ALB.ATS,31000
2006,ALB.ATS,31000
2007,ALB.ATS,31000
2008,ALB.ATS,24452
2008,ALB.ATS,29200
2009,ALB.ATS,24452
2009,ALB.ATS,29900
2010,ALB.ATS,24452
2010,ALB.ATS,29900
2011,ALB.ATS,29900
2012,ALB.ATS,20000
1999,BFT.AE+M,25000
2000,BFT.AE+M,25000
2001,BFT.AE+M,25000
2002,BFT.AE+M,25000
2003,BFT.AE+M,NA
2004,BFT.AE+M,NA
2005,BFT.AE+M,NA
2006,BFT.AE+M,NA
2007,BFT.AE+M,15000
2008,BFT.AE+M,15000
2009,BFT.AE+M,15000
2010,BFT.AE+M,15000
2011,BFT.AE+M,13500
2012,BFT.AE+M,12900
2012,BFT.AE+M,13500
2001,ALB.ATN,31000
2001,ALB.ATN,34500
2002,ALB.ATN,31000
2002,ALB.ATN,34500
2003,ALB.ATN,31000
2003,ALB.ATN,34500
2004,ALB.ATN,31000
2004,ALB.ATN,34500
2005,ALB.ATN,31000
2005,ALB.ATN,34500
2006,ALB.ATN,34500
2007,ALB.ATN,34500
2008,ALB.ATN,30000
2009,ALB.ATN,30000
2010,ALB.ATN,28000
2011,ALB.ATN,28000
2012,ALB.ATN,28000
2004,BET.A+M,100000
2005,BET.A+M,90000
2006,BET.A+M,90000
2007,BET.A+M,NA
2008,BET.A+M,85000
2009,BET.A+M,85000
2010,BET.A+M,85000
2011,BET.A+M,85000
2012,BET.A+M,85000
