Year,stockID,tac_cap
1982,BFT.ATW,1160
1983,BFT.ATW,2660
1984,BFT.ATW,2660
1985,BFT.ATW,2660
1986,BFT.ATW,2660
1987,BFT.ATW,2660
1988,BFT.ATW,2660
1989,BFT.ATW,2660
1990,BFT.ATW,2660
1991,BFT.ATW,2660
1992,BFT.ATW,2394
1993,BFT.ATW,2394
1994,BFT.ATW,2113
1995,BFT.ATW,2200
1996,BFT.ATW,2200
1997,BFT.ATW,2354
1998,BFT.ATW,2354
1999,BFT.ATW,2500
2000,BFT.ATW,2500
2001,BFT.ATW,2500
2002,BFT.ATW,2500
2003,BFT.ATW,2700
2004,BFT.ATW,2700
2005,BFT.ATW,2700
2006,BFT.ATW,2700
2007,BFT.ATW,2100
2008,BFT.ATW,2100
2009,BFT.ATW,1900
2010,BFT.ATW,1800
2011,BFT.ATW,1750
2012,BFT.ATW,1750
1997,SWO.ATN,11425
1998,SWO.ATN,11027
1999,SWO.ATN,10727
2000,SWO.ATN,10600
2001,SWO.ATN,10500
2002,SWO.ATN,10400
2003,SWO.ATN,14000
2004,SWO.ATN,14000
2005,SWO.ATN,14000
2006,SWO.ATN,14000
2007,SWO.ATN,14000
2008,SWO.ATN,14000
2009,SWO.ATN,14000
2010,SWO.ATN,14000
2011,SWO.ATN,13700
2012,SWO.ATN,13700
1998,SWO.ATS,14620
1999,SWO.ATS,14620
2000,SWO.ATS,14620
2001,SWO.ATS,14620
2002,SWO.ATS,14620
2003,SWO.ATS,15631
2004,SWO.ATS,15776
2005,SWO.ATS,15956
2006,SWO.ATS,16055
2007,SWO.ATS,17000
2008,SWO.ATS,17000
2009,SWO.ATS,17000
2010,SWO.ATS,17000
2011,SWO.ATS,15000
2012,SWO.ATS,15000
1999,ALB.ATS,28200
2000,ALB.ATS,28200
2001,ALB.ATS,29200
2002,ALB.ATS,29200
2003,ALB.ATS,29200
2004,ALB.ATS,29200
2005,ALB.ATS,30915
2006,ALB.ATS,30915
2007,ALB.ATS,30915
2008,ALB.ATS,29900
2009,ALB.ATS,29900
2010,ALB.ATS,29900
2011,ALB.ATS,29900
2012,ALB.ATS,24000
1999,BFT.AE+M,32000
2000,BFT.AE+M,29500
2001,BFT.AE+M,29500
2003,BFT.AE+M,32000
2004,BFT.AE+M,32000
2005,BFT.AE+M,32000
2006,BFT.AE+M,32000
2007,BFT.AE+M,29500
2008,BFT.AE+M,28500
2009,BFT.AE+M,22000
2010,BFT.AE+M,13500
2011,BFT.AE+M,12900
2012,BFT.AE+M,12900
2001,ALB.ATN,34500
2002,ALB.ATN,34500
2003,ALB.ATN,34500
2004,ALB.ATN,34500
2005,ALB.ATN,34500
2006,ALB.ATN,34500
2007,ALB.ATN,34500
2008,ALB.ATN,30200
2009,ALB.ATN,30200
2010,ALB.ATN,28000
2011,ALB.ATN,28000
2012,ALB.ATN,28000
2005,BET.A+M,90000
2006,BET.A+M,90000
2007,BET.A+M,90000
2008,BET.A+M,90000
2009,BET.A+M,90000
2010,BET.A+M,85000
2011,BET.A+M,85000
2012,BET.A+M,85000
2007,SBF,11810
2008,SBF,11810
2009,SBF,11810
2010,SBF,9749
2011,SBF,9749
2012,SBF,
